id	start	end	score	md5	length	analysis	sig_acc	sig_desc	status	ipr_acc	ipr_desc	goterm
P_ever_CAH3018368.1	683	749	2.4E-8	002cf810520c755412e1dcc67a946a94	1370	Pfam	PF07593	ASPIC and UnbV	T	IPR011519	ASPIC/UnbV	-
P_ever_CAH3018368.1	225	660	1.57E-48	002cf810520c755412e1dcc67a946a94	1370	SUPERFAMILY	SSF69318	Integrin alpha N-terminal domain	T	IPR028994	Integrin alpha, N-terminal	-
P_ever_CAH3018368.1	785	822	7.3E-6	002cf810520c755412e1dcc67a946a94	1370	Pfam	PF17963	Bacterial Ig domain	T	-	-	nan
P_ever_CAH3018368.1	435	584	2.5E-7	002cf810520c755412e1dcc67a946a94	1370	Gene3D	G3DSA:2.130.10.130	-	T	IPR028994	Integrin alpha, N-terminal	-
P_ever_CAH3018368.1	443	505	4.1E-14	002cf810520c755412e1dcc67a946a94	1370	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
P_ever_CAH3018368.1	230	294	5.2E-15	002cf810520c755412e1dcc67a946a94	1370	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
P_ever_CAH3018368.1	528	577	6.1E-7	002cf810520c755412e1dcc67a946a94	1370	Pfam	PF13517	FG-GAP-like repeat	T	IPR013517	FG-GAP repeat	-
P_ever_CAH3018368.1	220	369	1.2E-9	002cf810520c755412e1dcc67a946a94	1370	Gene3D	G3DSA:2.130.10.130	-	T	IPR028994	Integrin alpha, N-terminal	-
P_ever_CAH3018368.1	746	835	4.1E-10	002cf810520c755412e1dcc67a946a94	1370	Gene3D	G3DSA:2.60.40.3440	-	T	-	-	nan
P_ever_CAH3028033.1	528	557	-	c07710433450b13dacfedf9404bbfbd7	557	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
P_ever_CAH3028033.1	543	557	-	c07710433450b13dacfedf9404bbfbd7	557	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
P_ever_CAH3028034.1	1528	1548	-	917ab5c0d85204db349cbfc0a5c51247	1614	Coils	Coil	Coil	T	-	-	nan
P_ever_CAH3028034.1	1486	1511	-	917ab5c0d85204db349cbfc0a5c51247	1614	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
P_ever_CAH3028040.1	716	738	-	ff6d6b037358d1db8ff0c04e5bf95981	738	MobiDBLite	mobidb-lite	consensus disorder prediction	T	-	-	nan
P_ever_CAH3032715.1	147	541	5.75E-49	3ed02ab6259522f8b89391c38cf79ac7	1426	SUPERFAMILY	SSF69318	Integrin alpha N-terminal domain	T	IPR028994	Integrin alpha, N-terminal	-
